entity_id,friendly_name,domain,platform,device_name,manufacturer,model,area,disabled,hidden
sensor.pfp_west_nest_thermostat_sensor_humidity,PFP West Nest Thermostat Humidity Sensor,sensor,nest,PFP West,Google Nest,Thermostat,Pigeon Falls Properties,,
sensor.pigeon_falls_properties,,sensor,unifi,Pigeon Falls Properties,Ubiquiti Networks,UniFi WLAN,,,
sensor.pigeon_falls_properties_iot,,sensor,unifi,Pigeon Falls Properties - IoT,Ubiquiti Networks,UniFi WLAN,,,
sensor.piper_cpu_percent,CPU percent,sensor,hassio,Piper,Official add-ons,Home Assistant Add-on,,integration,
sensor.piper_memory_percent,Memory percent,sensor,hassio,Piper,Official add-ons,Home Assistant Add-on,,integration,
sensor.piper_newest_version,Newest version,sensor,hassio,Piper,Official add-ons,Home Assistant Add-on,,integration,
sensor.piper_version,Version,sensor,hassio,Piper,Official add-ons,Home Assistant Add-on,,integration,
sensor.plex_media_server_cpu_percent,CPU percent,sensor,hassio,Plex Media Server,Home Assistant Community Add-ons,Home Assistant Add-on,,integration,
sensor.plex_media_server_memory_percent,Memory percent,sensor,hassio,Plex Media Server,Home Assistant Community Add-ons,Home Assistant Add-on,,integration,
sensor.plex_media_server_newest_version,Newest version,sensor,hassio,Plex Media Server,Home Assistant Community Add-ons,Home Assistant Add-on,,integration,
sensor.plex_media_server_version,Version,sensor,hassio,Plex Media Server,Home Assistant Community Add-ons,Home Assistant Add-on,,integration,
sensor.ratgdo32disco_5735e8_firmware_version,Firmware Version,sensor,esphome,Garage_South_Garage_Door_ratgdo32disco,ratgdo,esphome,Garage,,
sensor.ratgdo32disco_5735e8_openings,Openings,sensor,esphome,Garage_South_Garage_Door_ratgdo32disco,ratgdo,esphome,Garage,,
sensor.ratgdo32disco_5735e8_paired_devices,Paired Devices,sensor,esphome,Garage_South_Garage_Door_ratgdo32disco,ratgdo,esphome,Garage,,
sensor.ratgdo32disco_5735e8_vehicle_distance_actual_filtered,Vehicle distance actual filtered,sensor,esphome,Garage_South_Garage_Door_ratgdo32disco,ratgdo,esphome,Garage,,
sensor.ratgdo32disco_5735e8_voltage,Voltage,sensor,esphome,Garage_South_Garage_Door_ratgdo32disco,ratgdo,esphome,Garage,,
sensor.ratgdo32disco_5735e8_wifi_signal,WiFi Signal,sensor,esphome,Garage_South_Garage_Door_ratgdo32disco,ratgdo,esphome,Garage,,
sensor.ratgdo32disco_fd8d8c_firmware_version,Firmware Version,sensor,esphome,Garage_North_Garage_Door_ratgdo32disco,ratgdo,esphome,Garage,,
sensor.ratgdo32disco_fd8d8c_openings,Openings,sensor,esphome,Garage_North_Garage_Door_ratgdo32disco,ratgdo,esphome,Garage,,
sensor.ratgdo32disco_fd8d8c_paired_devices,Paired Devices,sensor,esphome,Garage_North_Garage_Door_ratgdo32disco,ratgdo,esphome,Garage,,
sensor.ratgdo32disco_fd8d8c_vehicle_distance_actual_filtered,Vehicle distance actual filtered,sensor,esphome,Garage_North_Garage_Door_ratgdo32disco,ratgdo,esphome,Garage,,
sensor.ratgdo32disco_fd8d8c_voltage,Voltage,sensor,esphome,Garage_North_Garage_Door_ratgdo32disco,ratgdo,esphome,Garage,,
sensor.ratgdo32disco_fd8d8c_wifi_signal,WiFi Signal,sensor,esphome,Garage_North_Garage_Door_ratgdo32disco,ratgdo,esphome,Garage,,
sensor.samba_share_cpu_percent,CPU percent,sensor,hassio,Samba share,Official add-ons,Home Assistant Add-on,,integration,
sensor.samba_share_memory_percent,Memory percent,sensor,hassio,Samba share,Official add-ons,Home Assistant Add-on,,integration,
sensor.samba_share_newest_version,Newest version,sensor,hassio,Samba share,Official add-ons,Home Assistant Add-on,,integration,
sensor.samba_share_version,Version,sensor,hassio,Samba share,Official add-ons,Home Assistant Add-on,,integration,
sensor.sonos_favorites,Sonos favorites,sensor,sonos,,,,,integration,
sensor.spencer,,sensor,unifi,Spencer,Ubiquiti Networks,UniFi WLAN,,,
