sheet,priority,category,entity_id,friendly_name,type,platform,manufacturer,area,status,action_needed,notes
Sensors,HIGH,temperature,sensor.usw_pro_max_16_poe_temperature,Temperature,temperature,unifi,Ubiquiti Networks,,Needs Area,Assign Area,CRITICAL: NEEDS AREA
Sensors,INFO,door,sensor.very_front_door_chime_type,Chime type,door,unifiprotect,Ubiquiti,Very Front Door,Disabled,Assign Area,
Sensors,INFO,door,sensor.very_front_door_disk_write_rate,Disk write rate,door,unifiprotect,Ubiquiti,Very Front Door,OK,None,
Sensors,INFO,door,sensor.very_front_door_last_doorbell_ring,Last doorbell ring,door,unifiprotect,Ubiquiti,Very Front Door,OK,None,
Sensors,INFO,motion,sensor.very_front_door_last_motion_detected,Last motion detected,motion,unifiprotect,Ubiquiti,Very Front Door,OK,None,
Sensors,INFO,door,sensor.very_front_door_oldest_recording,Oldest recording,door,unifiprotect,Ubiquiti,Very Front Door,Disabled,Assign Area,
Sensors,INFO,door,sensor.very_front_door_received_data,Received data,door,unifiprotect,Ubiquiti,Very Front Door,Disabled,Assign Area,
Sensors,INFO,door,sensor.very_front_door_storage_used,Storage used,door,unifiprotect,Ubiquiti,Very Front Door,OK,None,
Sensors,INFO,door,sensor.very_front_door_transferred_data,Transferred data,door,unifiprotect,Ubiquiti,Very Front Door,Disabled,Assign Area,
Sensors,INFO,door,sensor.very_front_door_uptime,Uptime,door,unifiprotect,Ubiquiti,Very Front Door,Disabled,Assign Area,
Sensors,INFO,door,sensor.very_front_door_voltage,Voltage,door,unifiprotect,Ubiquiti,Very Front Door,OK,None,
Sensors,INFO,door,sensor.very_front_door_wi_fi_signal_strength,Wi-Fi signal strength,door,unifiprotect,Ubiquiti,Very Front Door,Disabled,Assign Area,
