entity_id,friendly_name,platform,area,disabled
automation.morning_wake_upstairs_hallway,Morning Wake → Upstairs Hallway,automation,None,None
automation.night_path_2nd_floor_bathroom,Night Path → 2nd Floor Bathroom,automation,None,None
automation.night_path_upstairs_hallway,Night Path → Upstairs Hallway,automation,None,None
automation.occupancy_update_mode,Occupancy → Update Mode,automation,None,None
automation.presence_alaina_away,Presence → Alaina Away,automation,None,None
automation.presence_alaina_home,Presence → Alaina Home,automation,None,None
automation.presence_ella_away,Presence → Ella Away,automation,None,None
automation.presence_ella_home,Presence → Ella Home,automation,None,None
automation.presence_john_away,Presence → John Away,automation,None,None
automation.presence_john_home,Presence → John Home,automation,None,None
automation.presence_michelle_away,Presence → Michelle Away,automation,None,None
automation.presence_michelle_home,Presence → Michelle Home,automation,None,None
automation.presence_update_girls_status,Presence → Update Girls Status,automation,None,None
automation.presence_update_occupancy_combinations,Presence → Update Occupancy Combinations,automation,None,None
automation.presence_update_someone_home,Presence → Update Someone Home,automation,None,None
automation.safety_all_lights_off_when_nobody_home,Safety - All Lights Off When Nobody Home,automation,None,None
automation.safety_main_areas_off_after_30_min_no_motion,Safety - Main Areas Off After 30 Min No Motion,automation,None,None
automation.safety_midnight_all_main_lights_off,Safety - Midnight All Main Lights Off,automation,None,None
automation.upstairs_hallway_motion_lighting,Upstairs Hallway → Motion Lighting,automation,None,None
