entity_id,friendly_name,sensor_type,platform,manufacturer,area,has_area,disabled,notes
sensor.aqara_door_and_window_sensor_battery_4,Battery,door,matter,Aqara,Entry Room,YES,,
sensor.aqara_door_and_window_sensor_battery_5,Battery,door,matter,Aqara,Garage,YES,,
sensor.aqara_door_and_window_sensor_battery_6,Battery,door,matter,Aqara,Garage,YES,,
sensor.aqara_door_and_window_sensor_battery_type,Battery type,door,matter,Aqara,Entry Room,YES,,
sensor.aqara_door_and_window_sensor_battery_type_2,Battery type,door,matter,Aqara,Very Front Door,YES,,
sensor.aqara_door_and_window_sensor_battery_type_3,Battery type,door,matter,Aqara,Entry Room,YES,,
sensor.aqara_door_and_window_sensor_battery_type_4,Battery type,door,matter,Aqara,Entry Room,YES,,
sensor.aqara_door_and_window_sensor_battery_type_5,Battery type,door,matter,Aqara,Garage,YES,,
sensor.aqara_door_and_window_sensor_battery_type_6,Battery type,door,matter,Aqara,Garage,YES,,
sensor.aqara_door_and_window_sensor_battery_voltage,Battery voltage,door,matter,Aqara,Entry Room,YES,,
sensor.aqara_door_and_window_sensor_battery_voltage_2,Battery voltage,door,matter,Aqara,Very Front Door,YES,,
sensor.aqara_door_and_window_sensor_battery_voltage_3,Battery voltage,door,matter,Aqara,Entry Room,YES,,
sensor.aqara_door_and_window_sensor_battery_voltage_4,Battery voltage,door,matter,Aqara,Entry Room,YES,,
sensor.aqara_door_and_window_sensor_battery_voltage_5,Battery voltage,door,matter,Aqara,Garage,YES,,
sensor.aqara_door_and_window_sensor_battery_voltage_6,Battery voltage,door,matter,Aqara,Garage,YES,,
sensor.aqara_motion_sensor_p1_battery,Battery,motion,matter,Aqara,Entry Room,YES,,
sensor.aqara_motion_sensor_p1_battery_2,Battery,motion,matter,Aqara,Upstairs Hallway,YES,,
sensor.aqara_motion_sensor_p1_battery_3,Battery,motion,matter,Aqara,Kitchen,YES,,
sensor.aqara_motion_sensor_p1_battery_4,Battery,motion,matter,Aqara,Basement Hallway,YES,,
sensor.aqara_motion_sensor_p1_battery_5,Battery,motion,matter,Aqara,Very Front Door Hallway,YES,,
sensor.aqara_motion_sensor_p1_battery_6,Battery,motion,matter,Aqara,Kitchen,YES,,
sensor.aqara_motion_sensor_p1_battery_type,Battery type,motion,matter,Aqara,Entry Room,YES,,
sensor.aqara_motion_sensor_p1_battery_type_2,Battery type,motion,matter,Aqara,Upstairs Hallway,YES,,
sensor.aqara_motion_sensor_p1_battery_type_3,Battery type,motion,matter,Aqara,Kitchen,YES,,
sensor.aqara_motion_sensor_p1_battery_type_4,Battery type,motion,matter,Aqara,Basement Hallway,YES,,
sensor.aqara_motion_sensor_p1_battery_type_5,Battery type,motion,matter,Aqara,Very Front Door Hallway,YES,,
sensor.aqara_motion_sensor_p1_battery_type_6,Battery type,motion,matter,Aqara,Kitchen,YES,,
sensor.aqara_motion_sensor_p1_battery_voltage,Battery voltage,motion,matter,Aqara,Entry Room,YES,,
sensor.aqara_motion_sensor_p1_battery_voltage_2,Battery voltage,motion,matter,Aqara,Upstairs Hallway,YES,,
